data_compra_date;id_pedido;id_produto;entrega_uf;receita_frete;receita_produto;quantidade_produto;situacao;tipo_venda;canal;desconto_produto;receita_total;nome_produto;categoria
30/01/2020;7830233;544113;PR;36,86000061;180,89999390;1;Aprovado;1P;MM;-14,17000;203,58999450;Escrivaninha Cavalete 4 Prateleiras Hawaii Yescasa;Escrivaninhas
06/01/2020;7521840;148376;SP;29,05999947;469,89999390;1;Aprovado;1P;B2W;-46,99000;451,96999170;Conjunto Sala de Jantar Mesa Tampo de Vidro e 4 Cadeiras Espresso Móveis;Conjuntos de Mesas e Cadeiras de Jantar
29/01/2020;7824799;280052;SP;86,08999634;399,89999390;1;Aprovado;1P;Carrefour;0,00000;485,98999020;Armário de Cozinha 12 Portas 1 Gaveta Clara Poliman Móveis;Armários de Cozinha
23/01/2020;7761090;553063;MG;108,98000340;959,90002440;1;Cancelado;1P;MM;0,00000;1068,88002800;Penteadeira Camarim Retrô com LED 5 Gavetas Nevada Potente;Penteadeiras
14/01/2020;7644963;1175243;SP;16,07999992;142,00000000;1;Aprovado;3P;MM;0,00000;158,07999990;Quadro Abstrato Decorativo - 57x120cm;Quadros
17/01/2020;7683578;1062306;SP;15,06000042;129,89999390;1;Aprovado;3P;MM;0,00000;144,95999430;Cortina Jacquard 3,00 x 2,50 para sala/quarto | Admirare - Champagne;Cortinas
30/01/2020;7836015;542777;MG;86,66999817;239,89999390;1;Aprovado;1P;Magazine Luiza;0,00000;326,56999210;Escrivaninha com Estante 2 Gavetas Poli Poliman Móveis;Escrivaninhas
04/01/2020;7495461;554446;SP;63,81999969;815,08001710;1;Aprovado;1P;B2W;0,00000;878,90001680;Guarda Roupa Casal com Espelho 3 Portas de Correr Vitor Macchiato Móveis;Guarda-Roupas
07/01/2020;7546781;493823;SP;0,00000000;489,89999390;1;Aprovado;1P;Mercado Livre;0,00000;489,89999390;Mesa Gamer Desk DRX 5000 Espresso Móveis;Escrivaninhas
15/01/2020;7662208;2010151;MG;66,55000305;78,00000000;2;Aprovado;3P;MM;0,00000;144,55000310;Mesa de Cabeceira Suspensa Branco Tipo Nicho;Mesas de Cabeceira
